KADAI_CODE,TANGEN_NAME
5011502030020020,中一２月号国語
5011502030030027,中一２月号国語
5011502030040024,中一２月号国語
5011502030050021,中一２月号国語
5111404010010120,中一４月号英語
5111404010010223,中一４月号英語
5111404020010127,中一４月号数学
5111404020010221,中一４月号数学
5111404020020124,中一４月号数学
5111404030010021,中一４月号国語
5111405010010129,中一５月号英語
5111405010010222,中一５月号英語
5111405020010126,中一５月号数学
5111405020010220,中一５月号数学
5111405020020123,中一５月号数学
5111405030010020,中一５月号国語
5111406010010128,中一６月号英語
5111406010010221,中一６月号英語
5111406020010125,中一６月号数学
5111406020010229,中一６月号数学
5111406020020122,中一６月号数学
5111406030010029,中一６月号国語
5111407010010127,中一７月号英語
5111407010010221,中一７月号英語
5111407020010124,中一７月号数学
5111407020010228,中一７月号数学
5111407020020121,中一７月号数学
5111407030010028,中一７月号国語
5111409010010125,中一９月号英語
5111409010010229,中一９月号英語
5111409020010122,中一９月号数学
5111409020010226,中一９月号数学
5111409020020120,中一９月号数学
5111409030010026,中一９月号国語
5111410010010121,中一１０月号英語
5111410010010224,中一１０月号英語
5111410020010128,中一１０月号数学
5111410020010221,中一１０月号数学
5111410020020125,中一１０月号数学
5111410030010021,中一１０月号国語
5111411010010120,中一１１月号英語
5111411010010223,中一１１月号英語
5111411020010127,中一１１月号数学
5111411020010221,中一１１月号数学
5111411020020124,中一１１月号数学
5111411030010021,中一１１月号国語
5111412010010129,中一１２月号英語
5111412010010222,中一１２月号英語
5111412020010126,中一１２月号数学
5111412020010220,中一１２月号数学
5111412020020123,中一１２月号数学
5111412030010020,中一１２月号国語
5111501010010126,中一１月号英語
5111501010010220,中一１月号英語
5111501020010123,中一１月号数学
5111501020010227,中一１月号数学
5111501020020121,中一１月号数学
5111501030010027,中一１月号国語
5111502010010125,中一２月号英語
5111502010010229,中一２月号英語
5111502020010122,中一２月号数学
5111502020010226,中一２月号数学
5111502020020120,中一２月号数学
5111502030010026,中一２月号国語
5011504010010120,中一０４月号英
5011504010020127,中一０４月号英
5011504010030124,中一０４月号英
5011504010040121,中一０４月号英
5011504010050129,中一０４月号英
5011504010060126,中一０４月号英
5011504010010223,中一０４月号英
5011504010020221,中一０４月号英
5011504010030228,中一０４月号英
5011504010040225,中一０４月号英
5011504010050222,中一０４月号英
5011504010060220,中一０４月号英
5011504020010127,中一０４月号数
5011504020010221,中一０４月号数
5011504030010021,中一０４月号国
5011504030020028,中一０４月号国
5011504030030025,中一０４月号国
5011504030040022,中一０４月号国
5011504030050020,中一０４月号国
5011505010010129,中一０５月号英
5011505010020126,中一０５月号英
5011505010030123,中一０５月号英
5011505010040121,中一０５月号英
5011505010050128,中一０５月号英
5011505010060125,中一０５月号英
5011505010010222,中一０５月号英
5011505010020220,中一０５月号英
5011505010030227,中一０５月号英
5011505010040224,中一０５月号英
5011505010050221,中一０５月号英
5011505010060229,中一０５月号英
5011505020010126,中一０５月号数
5011505020010220,中一０５月号数
5011505030010020,中一０５月号国
5011505030020027,中一０５月号国
5011505030030024,中一０５月号国
5011505030040021,中一０５月号国
5011505030050029,中一０５月号国
5011506010010128,中一０６月号英
5011506010020125,中一０６月号英
5011506010030122,中一０６月号英
5011506010040120,中一０６月号英
5011506010050127,中一０６月号英
5011506010060124,中一０６月号英
5011506010010221,中一０６月号英
5011506010020229,中一０６月号英
5011506010030226,中一０６月号英
5011506010040223,中一０６月号英
5011506010050221,中一０６月号英
5011506010060228,中一０６月号英
5011506020010125,中一０６月号数
5011506020010229,中一０６月号数
5011506030010029,中一０６月号国
5011506030020026,中一０６月号国
5011506030030023,中一０６月号国
5011506030040021,中一０６月号国
5011506030050028,中一０６月号国
5011507010010127,中一０７月号英
5011507010020124,中一０７月号英
5011507010030121,中一０７月号英
5011507010040129,中一０７月号英
5011507010050126,中一０７月号英
5011507010060123,中一０７月号英
5011507010010221,中一０７月号英
5011507010020228,中一０７月号英
5011507010030225,中一０７月号英
5011507010040222,中一０７月号英
5011507010050220,中一０７月号英
5011507010060227,中一０７月号英
5011507020010124,中一０７月号数
5011507020010228,中一０７月号数
5011507030010028,中一０７月号国
5011507030020025,中一０７月号国
5011507030030022,中一０７月号国
5011507030040020,中一０７月号国
5011507030050027,中一０７月号国
5011509010010125,中一０９月号英
5011509010020122,中一０９月号英
5011509010030120,中一０９月号英
5011509010040127,中一０９月号英
5011509010050124,中一０９月号英
5011509010060121,中一０９月号英
5011509010010229,中一０９月号英
5011509010020226,中一０９月号英
5011509010030223,中一０９月号英
5011509010040221,中一０９月号英
5011509010050228,中一０９月号英
5011509010060225,中一０９月号英
5011509020010122,中一０９月号数
5011509020010226,中一０９月号数
5011509030010026,中一０９月号国
5011509030020023,中一０９月号国
5011509030030021,中一０９月号国
5011509030040028,中一０９月号国
5011509030050025,中一０９月号国
5011510010010121,中一１０月号英
5011510010020128,中一１０月号英
5011510010030125,中一１０月号英
5011510010040122,中一１０月号英
5011510010050120,中一１０月号英
5011510010060127,中一１０月号英
5011510010010224,中一１０月号英
5011510010020221,中一１０月号英
5011510010030229,中一１０月号英
5011510010040226,中一１０月号英
5011510010050223,中一１０月号英
5011510010060221,中一１０月号英
5011510020010128,中一１０月号数
5011510020010221,中一１０月号数
5011510030010021,中一１０月号国
5011510030020029,中一１０月号国
5011510030030026,中一１０月号国
5011510030040023,中一１０月号国
5011510030050021,中一１０月号国
5011511010010120,中一１１月号英
5011511010020127,中一１１月号英
5011511010030124,中一１１月号英
5011511010040121,中一１１月号英
5011511010050129,中一１１月号英
5011511010060126,中一１１月号英
5011511010010223,中一１１月号英
5011511010020221,中一１１月号英
5011511010030228,中一１１月号英
5011511010040225,中一１１月号英
5011511010050222,中一１１月号英
5011511010060220,中一１１月号英
5011511020010127,中一１１月号数
5011511020010221,中一１１月号数
5011511030010021,中一１１月号国
5011511030020028,中一１１月号国
5011511030030025,中一１１月号国
5011511030040022,中一１１月号国
5011511030050020,中一１１月号国
5011601010010126,中一０１月号英
5011601010020123,中一０１月号英
5011601010030121,中一０１月号英
5011601010040128,中一０１月号英
5011601010050125,中一０１月号英
5011601010060122,中一０１月号英
5011601010010220,中一０１月号英
5011601010020227,中一０１月号英
5011601010030224,中一０１月号英
5011601010040221,中一０１月号英
5011601010050229,中一０１月号英
5011601010060226,中一０１月号英
5011601020010123,中一０１月号数
5011601020010227,中一０１月号数
5011601030010027,中一０１月号国
5011601030020024,中一０１月号国
5011601030030021,中一０１月号国
5011601030040029,中一０１月号国
5011601030050026,中一０１月号国
5011602010010021,中一０２月号英
5011602010020029,中一０２月号英
5011602010030026,中一０２月号英
5011602010040023,中一０２月号英
5011602010050021,中一０２月号英
5011602010060028,中一０２月号英
5011602020010029,中一０２月号数
5011602030010026,中一０２月号国
5011602030020023,中一０２月号国
5011602030030021,中一０２月号国
5011602030040028,中一０２月号国
5011602030050025,中一０２月号国
5021504010010127,中二０４月号英
5021504010020124,中二０４月号英
5021504010030121,中二０４月号英
5021504010040129,中二０４月号英
5021504010050126,中二０４月号英
5021504010060123,中二０４月号英
5021504010010221,中二０４月号英
5021504010020228,中二０４月号英
5021504010030225,中二０４月号英
5021504010040222,中二０４月号英
5021504010050220,中二０４月号英
5021504010060227,中二０４月号英
5021504020010124,中二０４月号数
5021504020010228,中二０４月号数
5021504030010028,中二０４月号国
5021504030020025,中二０４月号国
5021504030030022,中二０４月号国
5021504030040020,中二０４月号国
5021504030050027,中二０４月号国
5021505010010126,中二０５月号英
5021505010020123,中二０５月号英
5021505010030121,中二０５月号英
5021505010040128,中二０５月号英
5021505010050125,中二０５月号英
5021505010060122,中二０５月号英
5021505010010220,中二０５月号英
5021505010020227,中二０５月号英
5021505010030224,中二０５月号英
5021505010040221,中二０５月号英
5021505010050229,中二０５月号英
5021505010060226,中二０５月号英
5021505020010123,中二０５月号数
5021505020010227,中二０５月号数
5021505030010027,中二０５月号国
5021505030020024,中二０５月号国
5021505030030021,中二０５月号国
5021505030040029,中二０５月号国
5021505030050026,中二０５月号国
5021506010010125,中二０６月号英
5021506010020122,中二０６月号英
5021506010030120,中二０６月号英
5021506010040127,中二０６月号英
5021506010050124,中二０６月号英
5021506010060121,中二０６月号英
5021506010010229,中二０６月号英
5021506010020226,中二０６月号英
5021506010030223,中二０６月号英
5021506010040221,中二０６月号英
5021506010050228,中二０６月号英
5021506010060225,中二０６月号英
5021506020010122,中二０６月号数
5021506020010226,中二０６月号数
5021506030010026,中二０６月号国
5021506030020023,中二０６月号国
5021506030030021,中二０６月号国
5021506030040028,中二０６月号国
5021506030050025,中二０６月号国
5021507010010124,中二０７月号英
5021507010020121,中二０７月号英
5021507010030129,中二０７月号英
5021507010040126,中二０７月号英
5021507010050123,中二０７月号英
5021507010060121,中二０７月号英
5021507010010228,中二０７月号英
5021507010020225,中二０７月号英
5021507010030222,中二０７月号英
5021507010040220,中二０７月号英
5021507010050227,中二０７月号英
5021507010060224,中二０７月号英
5021507020010121,中二０７月号数
5021507020010225,中二０７月号数
5021507030010025,中二０７月号国
5021507030020022,中二０７月号国
5021507030030020,中二０７月号国
5021507030040027,中二０７月号国
5021507030050024,中二０７月号国
5021509010010122,中二０９月号英
5021509010020120,中二０９月号英
5021509010030127,中二０９月号英
5021509010040124,中二０９月号英
5021509010050121,中二０９月号英
5021509010060129,中二０９月号英
5021509010010226,中二０９月号英
5021509010020223,中二０９月号英
5021509010030221,中二０９月号英
5021509010040228,中二０９月号英
5021509010050225,中二０９月号英
5021509010060222,中二０９月号英
5021509020010120,中二０９月号数
5021509020010223,中二０９月号数
5021509030010023,中二０９月号国
5021509030020021,中二０９月号国
5021509030030028,中二０９月号国
5021509030040025,中二０９月号国
5021509030050022,中二０９月号国
5021510010010128,中二１０月号英
5021510010020125,中二１０月号英
5021510010030122,中二１０月号英
